size_bytes,trial,trace_sha256,case_id,mode,target,operations,produce,reuse,evict,local,remote,miss,miss_rate,block_hit_rate,request_count,request_hit_rate,p50_latency_us,p95_latency_us,p99_latency_us,request_p50_latency_us,request_p95_latency_us,storage_wait_us,operation_rate,cpu_utilization_pct
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,192.48,278.83,328.96,1042.35,1081.58,57837.057,2558.913051,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,681.971,1355.6,6517.192,4201.212,6012.923,116016.017,1275.685925,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,196.82,317.071,399.68,1147.371,1274.91,60057.845,2464.290885,
65536,1,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,520.2,1048.501,15714.337,3081.182,4275.392,102631.996,1442.045422,
65536,1,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,138.42,226.57,298.5,828.582,898.631,50805.016,2913.098187,
65536,1,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
65536,1,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,427.28,1053.28,13504.246,2927.171,4431.372,93827.688,1577.359553,
65536,1,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,136.84,265.59,401.13,949.101,1024.33,56628.73,2613.514377,
65536,2,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,441.79,986.32,12640.196,2752.441,4283.481,92007.933,1608.556949,
65536,2,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,136.45,213.37,266.76,812.572,859.23,56442.192,2622.151882,
65536,2,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
65536,2,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,427.73,1009.671,9780.514,2930.811,4617.053,90515.331,1635.082128,
65536,2,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,137.07,267.841,361.99,951.491,1044.421,52287.277,2830.516494,
65536,3,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,445.91,972.16,9522.034,2783.432,4589.153,89154.931,1660.031569,
65536,3,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,137.15,219.41,264.42,814.6,860.731,49322.136,3000.681074,
65536,3,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
65536,3,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,484.47,1026.28,7028.824,3177.422,4679.644,97192.13,1522.757038,
65536,3,6bd712e2622fdb0c19e0a55b79b44f7ce2f9595686399ca05782b4b98bf37cd6,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,138.91,272.321,373.52,976.471,1129.37,51542.435,2871.420413,
