scenario,trial,target,anchor_position,case_id,elapsed_sec,system_cpu_pct,nic_rx_Bps,nic_tx_Bps,client_block_util_pct,exit_code,local_temperature_c_before,target_temperature_c_before,local_temperature_c_after,target_temperature_c_after
local50,4,local_nvme,,direct-local,14.731119163800031,0.15615339915568374,0.0,0.0,94.05938439524316,0,37.85000000000002,21.0,37.85000000000002,21.0
local50,4,remote_nof,,direct-remote,2.5439599631354213,0.2205893655942078,0.0,0.0,93.75147543833576,0,37.85000000000002,20.0,37.85000000000002,20.0
local50,4,,,no_store,0.09219735395163298,0.2754237288135593,0.0,0.0,90.02427558120817,0,37.85000000000002,22.0,37.85000000000002,22.0
local50,4,local_nvme,,transparent-local,14.681904441211373,0.1585260669562995,0.0,0.0,94.41554435601732,0,37.85000000000002,21.0,37.85000000000002,21.0
local50,4,remote_nof,,transparent-remote,2.527515344787389,0.22658376639445682,0.0,0.0,93.9262349048052,0,37.85000000000002,20.0,37.85000000000002,20.0
local90,1,local_nvme,,direct-local,14.69612167775631,0.24564407131121826,0.0,0.0,99.50244234935136,0,36.85000000000002,19.0,36.85000000000002,19.0
local90,1,remote_nof,,direct-remote,2.5321735772304237,0.3070584876983729,0.0,0.0,98.80839222469787,0,36.85000000000002,19.0,36.85000000000002,19.0
local90,1,,,no_store,0.08781052194535732,0.3572225943290913,0.0,0.0,100,0,36.85000000000002,19.0,36.85000000000002,19.0
local90,1,local_nvme,,transparent-local,14.72568552242592,0.24197303539518947,0.0,0.0,99.33663174948865,0,36.85000000000002,19.0,37.85000000000002,19.0
local90,1,remote_nof,,transparent-remote,3.532811684999615,0.2676680252846738,0.0,0.0,98.590027166998,0,36.85000000000002,19.0,36.85000000000002,19.0
local90,2,local_nvme,,direct-local,14.723408541176468,0.23776953073688653,0.0,0.0,99.2636994288837,0,36.85000000000002,21.0,36.85000000000002,21.0
local90,2,remote_nof,,direct-remote,2.4927253583446145,0.26333939431939307,0.0,0.0,98.72728223996234,0,36.85000000000002,20.0,36.85000000000002,20.0
local90,2,,,no_store,0.08854615176096559,0.374614367562803,0.0,0.0,98.25384646287114,0,35.85000000000002,22.0,36.85000000000002,22.0
local90,2,local_nvme,,transparent-local,14.715205546934158,0.24877735356120667,0.0,0.0,99.57727028184722,0,36.85000000000002,22.0,36.85000000000002,21.0
local90,2,remote_nof,,transparent-remote,3.5736512639559805,0.2689759233746638,0.0,0.0,98.75054221416804,0,36.85000000000002,20.0,36.85000000000002,20.0
local90,3,local_nvme,,direct-local,14.719171728007495,0.2259646979945965,0.0,0.0,99.02731124649446,0,37.85000000000002,20.0,37.85000000000002,20.0
local90,3,remote_nof,,direct-remote,2.4992216117680073,0.26813004698138726,0.0,0.0,98.75074656761149,0,37.85000000000002,19.0,37.85000000000002,19.0
local90,3,,,no_store,0.09196144388988614,0.36101083032490977,0.0,0.0,100,0,37.85000000000002,21.0,37.85000000000002,20.0
local90,3,local_nvme,,transparent-local,14.739386137574911,0.24201393767014534,0.0,0.0,99.3189259265079,0,37.85000000000002,20.0,37.85000000000002,20.0
local90,3,remote_nof,,transparent-remote,2.5362319089472294,0.30504244403703645,0.0,0.0,99.1234275986829,0,37.85000000000002,19.0,37.85000000000002,19.0
local90,4,local_nvme,,direct-local,14.700995841063559,0.2406529388627255,0.0,0.0,99.36741808467289,0,37.85000000000002,23.0,37.85000000000002,22.0
local90,4,remote_nof,,direct-remote,3.5612996984273195,0.26663448033707865,0.0,0.0,98.86839912841045,0,36.85000000000002,20.0,36.85000000000002,20.0
local90,4,,,no_store,0.08976766327396035,0.3271537622682661,0.0,0.0,99.14483317715697,0,36.85000000000002,25.0,36.85000000000002,24.0
local90,4,local_nvme,,transparent-local,14.687421882990748,0.23886917523634216,0.0,0.0,99.56818913832525,0,36.85000000000002,24.0,37.85000000000002,23.0
local90,4,remote_nof,,transparent-remote,2.523861404042691,0.2686361489808084,0.0,0.0,98.93570209522342,0,36.85000000000002,20.0,36.85000000000002,20.0
