scenario,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
remote_stress,1,remote_nof,direct,direct-remote,get,44,2414.718455,2414.172,2439.952,2448.421
remote_stress,1,remote_nof,direct,direct-remote,put,52,3311.894019,2509.292,2574.912,43891.251
remote_stress,1,remote_nof,direct,direct-remote,remove,52,64.591635,61.64,73.6,104.65
remote_stress,1,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
remote_stress,1,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
remote_stress,1,local_nvme,transparent,transparent-local,get,44,1240.775932,556.721,6699.413,12146.216
remote_stress,1,local_nvme,transparent,transparent-local,put,52,984.836192,889.43,1325.68,2171.391
remote_stress,1,local_nvme,transparent,transparent-local,remove,52,62.477365,59.88,74.79,85.091
remote_stress,1,remote_nof,transparent,transparent-remote,get,44,2399.4,2397.502,2427.481,2443.361
remote_stress,1,remote_nof,transparent,transparent-remote,put,52,3205.236365,2496.251,2587.671,38764.858
remote_stress,1,remote_nof,transparent,transparent-remote,remove,52,44.973615,41.57,58.63,89.53
remote_stress,2,local_nvme,direct,direct-local,get,44,1230.417795,563.221,1021.071,17720.008
remote_stress,2,local_nvme,direct,direct-local,put,52,934.903327,848.54,1338.421,1968.58
remote_stress,2,local_nvme,direct,direct-local,remove,52,62.359846,59.05,82.87,92.55
remote_stress,2,remote_nof,direct,direct-remote,get,44,169.039182,164.17,192.3,258.37
remote_stress,2,remote_nof,direct,direct-remote,put,52,960.251212,234.45,263.81,37801.247
remote_stress,2,remote_nof,direct,direct-remote,remove,52,63.183692,61.4,70.43,85.07
remote_stress,2,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
remote_stress,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
remote_stress,2,local_nvme,transparent,transparent-local,get,44,1087.349432,575.08,5001.412,10310.695
remote_stress,2,local_nvme,transparent,transparent-local,put,52,981.281904,897.5,1383.181,2032.051
remote_stress,2,local_nvme,transparent,transparent-local,remove,52,61.138558,58.37,73.36,86.42
remote_stress,2,remote_nof,transparent,transparent-remote,get,44,169.090523,163.55,183.44,286.05
remote_stress,2,remote_nof,transparent,transparent-remote,put,52,1099.071654,274.22,380.27,42823.11
remote_stress,2,remote_nof,transparent,transparent-remote,remove,52,64.409423,60.73,72.97,125.55
remote_stress,3,local_nvme,direct,direct-local,get,44,1307.482795,573.181,884.601,18133.399
remote_stress,3,local_nvme,direct,direct-local,put,52,962.671019,875.971,1279.351,1906.881
remote_stress,3,local_nvme,direct,direct-local,remove,52,64.843654,60.03,79.209,162.451
remote_stress,3,remote_nof,direct,direct-remote,get,44,2416.595045,2416.492,2443.481,2493.821
remote_stress,3,remote_nof,direct,direct-remote,put,52,3417.977577,2505.751,2597.911,49528.194
remote_stress,3,remote_nof,direct,direct-remote,remove,52,64.122365,60.76,73.5,93.24
remote_stress,3,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
remote_stress,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
remote_stress,3,local_nvme,transparent,transparent-local,get,44,1171.739864,555.74,5308.923,13133.626
remote_stress,3,local_nvme,transparent,transparent-local,put,52,973.134288,907.741,1366.451,2058.32
remote_stress,3,local_nvme,transparent,transparent-local,remove,52,43.257173,41.61,51.44,64.24
remote_stress,3,remote_nof,transparent,transparent-remote,get,44,2419.778136,2413.261,2457.441,2515.872
remote_stress,3,remote_nof,transparent,transparent-remote,put,52,3305.9675,2556.371,2739.221,39728.709
remote_stress,3,remote_nof,transparent,transparent-remote,remove,52,65.317115,62.2,76.85,102.16
remote_stress,4,local_nvme,direct,direct-local,get,44,1171.679386,574.85,1329.29,17962.889
remote_stress,4,local_nvme,direct,direct-local,put,52,954.973519,895.201,1253.63,1928.511
remote_stress,4,local_nvme,direct,direct-local,remove,52,59.428231,57.54,67.34,80.43
remote_stress,4,remote_nof,direct,direct-remote,get,44,172.01025,162.74,179.65,487.84
remote_stress,4,remote_nof,direct,direct-remote,put,52,849.638788,233.85,269.19,32098.935
remote_stress,4,remote_nof,direct,direct-remote,remove,52,62.851365,61.02,69.08,85.3
remote_stress,4,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
remote_stress,4,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
remote_stress,4,local_nvme,transparent,transparent-local,get,44,1252.33125,557.99,1395.421,15934.188
remote_stress,4,local_nvme,transparent,transparent-local,put,52,992.684904,913.181,1345.74,1931.491
remote_stress,4,local_nvme,transparent,transparent-local,remove,52,60.920615,58.99,69.87,91.55
remote_stress,4,remote_nof,transparent,transparent-remote,get,44,168.379636,165.62,184.57,187.26
remote_stress,4,remote_nof,transparent,transparent-remote,put,52,1056.342885,271.42,316.52,40828.69
remote_stress,4,remote_nof,transparent,transparent-remote,remove,52,62.224231,60.26,72.04,84.55
